Name                                                                                                Stmts   Miss  Cover
polaris\cells\runtime\projection\internal\status_snapshot_builder.py                                  138    113    18%
polaris\cells\runtime\projection\internal\workflow_status.py                                          444    398    10%
polaris\cells\runtime\projection\internal\workspace_runtime_context.py                                 46     28    39%
polaris\cells\runtime\projection\public\__init__.py                                                     3      0   100%
polaris\cells\runtime\projection\public\contracts.py                                                   40      0   100%
polaris\cells\runtime\projection\public\file_io_facade.py                                               2      0   100%
polaris\cells\runtime\projection\public\service.py                                                     13      0   100%
polaris\cells\runtime\state_owner\__init__.py                                                           2      0   100%
polaris\cells\runtime\state_owner\internal\__init__.py                                                  0      0   100%
polaris\cells\runtime\state_owner\internal\maintenance.py                                              91     69    24%
polaris\cells\runtime\state_owner\internal\pm_contract_store.py                                       175    153    13%
polaris\cells\runtime\state_owner\internal\runtime_state_registry.py                                   63     44    30%
polaris\cells\runtime\state_owner\internal\state.py                                                    44     15    66%
polaris\cells\runtime\state_owner\public\__init__.py                                                    3      0   100%
polaris\cells\runtime\state_owner\public\contracts.py                                                  32      0   100%
polaris\cells\runtime\state_owner\public\service.py                                                     6      0   100%
polaris\cells\runtime\task_market\__init__.py                                                           3      0   100%
polaris\cells\runtime\task_market\internal\__init__.py                                                  3      0   100%
polaris\cells\runtime\task_market\internal\consumer_loop.py                                           146    119    18%
polaris\cells\runtime\task_market\internal\dlq.py                                                      52     40    23%
polaris\cells\runtime\task_market\internal\errors.py                                                   41     24    41%
polaris\cells\runtime\task_market\internal\fsm.py                                                      56     33    41%
polaris\cells\runtime\task_market\internal\human_review.py                                            190    164    14%
polaris\cells\runtime\task_market\internal\lease_manager.py                                            48     33    31%
polaris\cells\runtime\task_market\internal\metrics.py                                                 142    114    20%
polaris\cells\runtime\task_market\internal\models.py                                                  101     50    50%
polaris\cells\runtime\task_market\internal\reconciler.py                                               48     35    27%
